experiment,description,algorithms,run,seed,average_delay_mean,average_delay_std,average_delay_min,average_delay_max,average_delay_final,throughput_mean,throughput_std,throughput_min,throughput_max,throughput_final,average_queue_length_mean,average_queue_length_std,average_queue_length_min,average_queue_length_max,average_queue_length_final,average_speed_mean,average_speed_std,average_speed_min,average_speed_max,average_speed_final,total_vehicles_mean,total_vehicles_std,total_vehicles_min,total_vehicles_max,total_vehicles_final
add_pso,PSO timing optimization only,"cellular_automata,pso",16,16,35.57910281220609,9.027132207727464,0.0,67.00000000000001,35.947396681906305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0385087637247377,0.8090432835015156,0.0,4.0,1.06311498457085,17.11037037037037,4.505556636373194,0.0,34.0,14.36851851851852
add_pso,PSO timing optimization only,"cellular_automata,pso",17,17,36.61566863189622,8.42616203734417,0.0,72.18571428571428,38.99946118676626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0330199645085032,0.8027352103629298,0.0,4.166666666666667,0.9319756122114122,17.21648148148148,4.15099125038444,0.0,30.0,19.353703703703705
add_pso,PSO timing optimization only,"cellular_automata,pso",18,18,36.24321948248919,8.576383264108928,0.0,67.45714285714287,36.66095783751876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0221012671880398,0.8040642300971728,0.0,4.0,1.0307502958804284,17.99074074074074,4.152944895270705,0.0,32.0,19.16111111111111
add_pso,PSO timing optimization only,"cellular_automata,pso",19,19,35.05466358024123,8.727500222615499,0.0,68.82857142857144,35.63787029421805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0536381091437996,0.8033321330696288,0.0,3.692307692307693,1.0717150712737151,17.06037037037037,4.570240273675125,0.0,31.0,16.685185185185187
add_som,Pattern recognition only,"cellular_automata,som",0,0,35.82357998438143,9.362220646129757,0.0,71.36363636363637,35.35511916567423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0592619196929265,0.7961241614296085,0.0,3.823529411764706,1.094373586882447,17.425185185185185,4.382156048382248,0.0,33.0,16.15
add_som,Pattern recognition only,"cellular_automata,som",1,1,35.90417088353739,8.439430928678707,0.0,62.6125,35.65070095444569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136912437823709,0.789678809843023,0.0,4.0,0.9587182474406342,17.839814814814815,4.068452244946492,0.0,32.0,16.372222222222224
add_som,Pattern recognition only,"cellular_automata,som",2,2,35.44701998873731,8.71556705519132,0.0,63.376470588235286,36.37724949404648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0407988145913785,0.8242074534923046,0.0,5.0,1.0311813874465288,16.78648148148148,4.283448185839088,0.0,30.0,18.538888888888888
add_som,Pattern recognition only,"cellular_automata,som",3,3,36.92780884735535,8.782757151715712,0.0,78.78181818181818,38.46138201518462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0229608289247485,0.7940664708384697,0.0,3.7857142857142856,0.9893705771744352,17.227592592592593,3.844796596837893,0.0,30.0,15.896296296296295
add_som,Pattern recognition only,"cellular_automata,som",4,4,36.29494426669508,8.542686492126181,0.0,68.25714285714287,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382100671082053,0.795292450730107,0.0,3.7857142857142856,1.0157655353691608,17.47962962962963,3.8437963308682415,0.0,33.0,18.73703703703704
add_som,Pattern recognition only,"cellular_automata,som",5,5,34.18329642425339,8.647689442641038,0.0,67.16,34.84665315220874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0739532570150112,0.7998868598387372,0.0,3.8,1.043515893508017,17.08074074074074,4.330742752073423,0.0,31.0,17.822222222222223
